"commentsCount","likesCount","videoViewCount","timestamp","videoDuration"
"31457","1035349","11453773","2016-10-06T20:30:48.000Z","2.736"
"50240","689378","8464343","2016-10-11T22:35:44.000Z","58.258"
"29123","802701","5219021","2016-10-29T04:24:37.000Z","4.971"
"178591","1317732","7186037","2016-08-05T19:35:51.000Z","28.528"
"27196","1169437","12015381","2016-07-26T00:45:36.000Z","60.026"
"77347","856384","8128221","2016-06-21T07:41:50.000Z","5.372"
"138689","1414518","11313005","2016-07-18T19:24:38.000Z","3.536"
"127434","898982","11768818","2016-09-03T04:07:32.000Z","35.902"
"17918","811802","12382995","2016-09-10T22:06:51.000Z","2.969"
"46189","1324470","17852944","2016-08-10T14:00:20.000Z","10.043"
"198319","1037575","9264273","2016-08-06T21:10:21.000Z","25.925"
"56490","941400","4534851","2016-07-24T22:50:20.000Z","3.536"
"38589","669021","7287686","2016-06-07T17:58:04.000Z","15.8"
"136910","850586","5944409","2016-08-18T02:06:07.000Z","2.869"
"26306","750286","6175519","2016-06-14T21:12:31.000Z","3.636"
"65069","510973","3926673","2016-11-28T20:31:18.000Z","54.054"
"212864","707384","6591599","2016-06-17T16:44:18.000Z","6.172"
"65899","1057751","12632494","2016-08-31T21:18:49.000Z","3.87"
"174748","810583","7589338","2016-05-27T23:32:14.000Z","4.838"
"61069","1089148","5796474","2016-09-18T16:22:02.000Z","11.978"
"22001","800600","7173064","2016-04-27T19:55:25.000Z","4.204"
"8565","693624","5979714","2016-04-27T19:49:53.000Z","5.472"
"17022","1011687","13267373","2016-12-11T05:57:46.000Z","7.874"
"21479","540424","6197303","2016-05-24T18:12:53.000Z","6.706"
"19729","895147","7910182","2016-09-07T15:06:35.000Z","2.836"
"116650","912294","14827507","2016-12-02T07:01:52.000Z","3.87"
"74040","696505","7857283","2016-05-19T21:50:17.000Z","4.763"
"18210","978991","5552102","2016-07-26T00:08:34.000Z","4.971"
"23563","767742","8934208","2016-04-18T16:54:29.000Z","11.211"
"100876","940886","10568026","2016-11-19T07:11:46.000Z","6.006"
"14634","725903","9868119","2016-04-17T21:02:53.000Z","6.439"
"17513","832531","7272581","2016-04-01T18:16:13.000Z","13.58"
"69768","522491","3195903","2016-07-07T20:12:25.000Z","60.026"
"30053","616857","5376087","2016-04-07T17:25:35.000Z","5.472"
"89577","725396","4864086","2016-04-10T23:00:57.000Z","6.005"
"137562","735912","5339043","2016-05-30T08:27:48.000Z","10.01"
"10691","760543","5752161","2016-03-27T04:31:36.000Z","13.38"
"102999","835348","5913972","2016-06-28T05:05:27.000Z","3.536"
"13824","791105","7447720","2016-03-12T00:45:43.000Z","8.808"
"18242","675994","8890540","2016-04-06T07:00:00.000Z","14.966"
"42781","394559","2924534","2016-03-18T23:23:02.000Z","14.914"
"23666","521105","6937342","2016-04-15T04:11:14.000Z","35.802"
"39576","545724","3467003","2016-10-24T16:20:17.000Z","8.241"
"11827","682389","5272455","2016-04-12T02:57:30.000Z","6.071"
"8446","283328","2337775","2016-04-08T19:19:30.000Z","14.931"
"21914","525695","6581063","2016-03-14T17:53:45.000Z","14.981"
"162120","733131","6022665","2016-04-08T22:53:16.000Z","9.909"
"50238","765427","7617541","2016-04-04T16:35:54.000Z","4.103"
"43275","944975","7220358","2016-05-30T04:02:01.000Z","3.236"
"13652","913925","5620217","2016-03-27T19:36:53.000Z","3.036"
"110733","1054476","9851529","2016-04-24T03:43:23.000Z","10.566"
"35185","464673","5063183","2016-03-04T19:35:58.000Z","15.015"
"39174","564964","7100562","2016-02-22T19:28:35.000Z","6.072"
"48302","677038","9458276","2016-03-31T22:32:35.000Z","9.506"
"16177","456400","4219427","2016-02-23T21:39:47.000Z","6.94"
"16283","496239","4573303","2016-02-13T05:07:42.000Z","15.015"
"25020","811382","5726379","2016-03-31T18:33:02.000Z","30.03"
"65177","984445","9422113","2016-04-27T08:16:04.000Z","3.036"
"68837","497469","5880555","2016-02-01T18:55:41.000Z","14.981"
"13224","550766","3755421","2016-01-30T08:53:08.000Z","0"
"26002","820049","9033332","2016-02-11T12:58:46.000Z","0"
"42399","652936","5861928","2016-04-10T22:53:56.000Z","8.94"
"134368","1097280","9707934","2016-01-28T23:47:03.000Z","0"
"26808","514167","8792343","2016-02-23T19:35:56.000Z","7.107"
"44462","720276","6192705","2016-01-25T18:31:29.000Z","0"
"38648","583563","6259789","2016-01-20T22:25:12.000Z","14.681"
"27350","619728","7838199","2016-01-31T22:39:10.000Z","0"
"14895","493523","3019528","2016-02-05T06:58:12.000Z","9.609"
"9317","543362","6087394","2016-01-20T22:24:00.000Z","15.015"
"101798","616942","8292184","2016-03-06T19:46:53.000Z","15.015"
"14006","467190","3023979","2016-02-05T05:19:42.000Z","0"
"32731","831097","8205068","2016-03-16T02:28:50.000Z","9.776"
"416","819682","8947910","2016-09-15T05:20:50.000Z","36.102"
"231510","349193","2927435","2016-02-05T23:22:25.000Z","0"
"57926","576003","2817119","2016-01-21T01:33:46.000Z","0"
"22034","751814","7399931","2015-12-29T20:21:38.000Z","15.015"
"76859","812394","12147959","2016-02-02T07:43:39.000Z","0"
"2","292938","3124101","2016-02-15T19:39:25.000Z","8.44"
"16595","1101427","9790801","2016-01-15T18:13:31.000Z","0"
"76396","857465","8279261","2016-01-05T07:37:20.000Z","8.842"
"46157","529981","2792864","2016-01-27T17:34:14.000Z","0"
"24315","594420","11167659","2016-03-17T23:47:46.000Z","4.838"
"61975","794050","8310726","2016-01-04T19:00:55.000Z","15.015"
"6","244","4299756","2016-02-14T19:28:37.000Z","3.969"
"12708","698949","6138415","2016-03-29T03:33:06.000Z","4.637"
"116518","809423","6073492","2016-01-04T01:52:12.000Z","2.802"
"37104","826049","3628939","2016-01-20T19:41:54.000Z","4.437"
"7531","633055","3348152","2016-02-04T09:09:19.000Z","0"
"102025","800290","7700177","2016-01-25T02:56:01.000Z","15.015"
"15634","701767","4755592","2015-12-13T01:07:52.000Z","13.613"
"38480","280770","2797658","2015-12-18T19:21:26.000Z","9.242"
"49423","737086","7522096","2015-12-19T17:33:30.000Z","10.043"
"23221","1278775","10586849","2015-12-13T01:48:53.000Z","0"
"106231","643151","6728152","2015-12-07T22:55:32.000Z","5.605"
"480980","947507","7599690","2016-01-01T01:05:34.000Z","12.612"
"63933","534780","5650197","2015-12-09T18:09:48.000Z","4.371"
"41675","401463","6259301","2016-04-20T18:00:45.000Z","15.015"
"3737","550873","3679302","2016-04-12T02:57:11.000Z","3.235"
"5877","385819","4264323","2015-12-15T18:50:22.000Z","15.015"
"89826","714654","7268646","2016-01-16T21:23:06.000Z","5.238"
"22419","434863","5045278","2015-12-15T18:51:53.000Z","7.774"
"22630","1041381","16288081","2016-12-12T22:39:17.000Z","24.324"
"9472","620350","4765119","2015-11-26T23:35:32.000Z","5.338"
"21184","758740","8671885","2015-11-23T21:42:20.000Z","4.471"
"37642","475197","5385887","2015-12-04T20:58:21.000Z","15.015"
"13059","660042","6573476","2015-11-30T23:55:24.000Z","15.015"
"23730","593922","4425868","2015-11-26T23:49:25.000Z","2.836"
"13263","1008701","6193065","2015-12-13T01:16:52.000Z","4.437"
"30159","1183568","9995510","2016-01-15T18:16:25.000Z","0"
"99463","689029","5161264","2015-12-21T03:07:10.000Z","4.437"
"8455","498350","0","2015-11-18T07:32:45.000Z","6.239"
"57279","709654","0","2015-11-13T18:55:26.000Z","2.569"
"24666","513583","0","2015-11-10T19:24:46.000Z","14.981"
"121303","666663","0","2015-11-09T04:11:11.000Z","3.737"
"30588","530451","7018562","2015-11-30T18:41:00.000Z","13.88"
"27753","544592","2837507","2015-11-21T01:27:56.000Z","5.739"
"4666","622456","0","2015-11-17T02:37:07.000Z","5.005"
"91967","802067","0","2015-11-15T04:17:41.000Z","6.439"
"47919","458739","0","2015-11-17T07:43:35.000Z","6.94"
"18000","755652","7352807","2016-01-03T22:56:05.000Z","15.015"
"75866","1243483","9326097","2016-01-11T06:19:17.000Z","4.437"
"7540","634376","7267461","2015-11-30T21:56:59.000Z","7.507"
"30058","801278","0","2015-11-07T22:16:25.000Z","5.705"
"12452","402262","0","2015-10-29T23:50:51.000Z","15.015"
"51696","752034","0","2015-11-18T07:43:04.000Z","9.843"
"25446","546293","0","2015-11-12T20:35:29.000Z","4.371"
"96887","649832","7714715","2015-11-22T04:11:18.000Z","9.943"
"6264","478675","0","2015-10-23T17:37:44.000Z","15.015"
"35887","764878","0","2015-10-28T21:00:05.000Z","15.015"
"32140","463824","0","2015-10-26T16:58:54.000Z","14.014"
"23186","942038","0","2015-10-31T05:48:52.000Z","3.003"
"25747","837445","0","2015-10-17T17:59:02.000Z","10.81"
"29100","521033","0","2015-10-30T00:10:31.000Z","9.909"
"27203","962680","9201008","2016-04-15T20:37:40.000Z","5.572"
"72556","728322","0","2015-10-23T21:37:38.000Z","9.676"
"108136","626693","0","2015-11-01T06:14:36.000Z","5.739"
"39071","295459","0","2015-11-05T19:06:40.000Z","6.573"
"9511","346933","0","2015-10-29T18:28:23.000Z","14.981"
"18530","810773","0","2015-11-04T23:16:22.000Z","4.371"
"77970","994562","11459865","2016-08-01T08:08:56.000Z","4.237"
